City Name,Zone Name,Ward Name,Ward No.,No. of intersections / junctions,Total number of operational signalized intersections
Indore ,Aerodrum Road,Kalani nagar ,3,1,0
Indore ,Rajmohalla,Malhar Ganj ,6,2,0
Indore ,Kila Maidan,Juna Risala ,8,2,1
Indore ,Kila Maidan,Vrindawan ,9,3,1
Indore ,Maharana Pratap Sangam Nagar,Banganga ,10,1,1
Indore ,Aerodrum Road,Vijasan ,15,1,0
Indore ,Narval Zone,Sant Kabeer ,18,1,1
Indore ,Sukhliya,Shyam Nagar ,21,1,0
Indore ,Narval Zone,Late Rajesh Joshi ,23,2,0
Indore ,Subhash Nagar,Nanda Nagar,25,2,1
Indore ,Scheme No. 54,Dr. Shyama Prasad Mukharjee ,29,3,2
Indore ,Vijay Nagar,Sant Ravi Das ,30,2,2
Indore ,Scheme No. 54,Maharaja Chhatrasal ,31,3,2
Indore ,Scheme No. 54,Shahid Bhagat Singh ,34,1,1
Indore ,Vijay Nagar,Nipaniya ,36,1,0
Indore ,Vijay Nagar,sai Kripa ,37,2,2
Indore ,Saket Nagar,Haji Colony ,38,1,0
Indore ,Saket Nagar,Khajrana Ganesh ,40,1,1
Indore ,Scheme no. 94,Kailash puri ,41,1,1
Indore ,Saket Nagar,Swami Vivekanand ,42,1,0
Indore ,Saket Nagar,Shri Nagar ,43,2,0
Indore ,Pancham Ki Fel,HIG ,44,2,1
Indore ,Pancham Ki Fel,Dr. Bheemrao Ambedkar ,45,1,1
Indore ,Pancham Ki Fel,Sardar Vallabh Bhai Patel ,47,4,3
Indore ,Stadium Zone,Geeta Bhawan ,48,3,3
Indore ,Scheme no. 94,Brajeshwari ,50,1,1
Indore ,Stadium Zone,Residency ,54,3,1
Indore ,Stadium Zone,South Tukoganj ,55,5,5
Indore ,Nagar Nigam,Devi Ahiliya Bai ,57,6,3
Indore ,Harsidhdhi Zone,Harsiddhi ,59,2,1
Indore ,Krishi Vihar,Navlakha ,63,3,1
Indore ,Krishi Vihar,Chitawad ,64,1,0
Indore ,Harsidhdhi Zone,Sant Kambar Rao ,65,1,0
Indore ,Harsidhdhi Zone,Shahid Hemu Kalani ,66,1,1
Indore ,Raj Mohalla,Jawahar Marg ,69,2,0
Indore ,Dravid Nagar,Dravid Nagar ,71,3,1
Indore ,Bilavali Zone,Vishnu puri,74,4,2
Indore ,Bilavali Zone,Choithram ,78,1,0
Indore ,Bilavali Zone,Dr. Rajendra Prasad ,80,1,0
Indore ,Bilavali Zone,Annapurna ,81,2,1
Indore ,Dravid Nagar,Gumasta ,83,2,1
