City Name,Zone Name,Ward Name,Ward No.,Total Population (in thousands)
Indore,16,Sirpur,1,36005
Indore,15,Chandan Nagar,2,34785
Indore,16,Kalani Nagar,3,35277
Indore,1,Sukhdev Nagar,4,31931
Indore,16,Raj Nagar,5,33792
Indore,2,Malhargunj,6,34495
Indore,1,Janta Colony,7,32248
Indore,1,Juna Risala,8,35145
Indore,1,Vrindavan,9,33592
Indore,4,Banganga,10,31228
Indore,4,Bhagiratpura,11,31063
Indore,4,Govind Colony,12,31813
Indore,4,Sangam Nagar,13,33744
Indore,16,Ashok Nagar,14,33102
Indore,16,Bijasan,15,34999
Indore,1,Nandbag,16,35393
Indore,4,Kushwa Nagar,17,36000
Indore,17,Santkabir,18,35672
Indore,17,Vishvkarma,19,32550
Indore,17,Gori Nagar,20,30419
Indore,5,Shyam Nagar,21,27261
Indore,5,Pandit Deen Dayal Upadhyay,22,27168
Indore,17,Swargi Rajesh Joshi,23,32621
Indore,6,Sant Balaji Nath Maharaj,24,29756
Indore,6,Shree Ganesh,25,28763
Indore,6,Jeend Mata,26,26859
Indore,6,Pashupati Nath,27,30018
Indore,5,Ma Tulaja Bhawani,28,29999
Indore,7,Dr. Shyama Prasad Mukharji,29,29027
Indore,8,Sant Ravi Das,30,31611
Indore,7,Maharaja Chatrasal,31,27800
Indore,7,Atal Bihari Wajpai,32,26743
Indore,5,Sukhliya,33,27552
Indore,7,Sahid Bhagat Singh,34,28190
Indore,8,Lasudiya Mori,35,29642
Indore,8,Nipaniya,36,27417
Indore,8,Sai Kirpa,37,26938
Indore,10,Haji Colony,38,35134
Indore,10,Naharshawali,39,35921
Indore,10,Khajrana Ganesh,40,28645
Indore,19,Kelash Puri,41,30658
Indore,10,Suwami Vivekanand,42,27341
Indore,10,Shree Nagar,43,26972
Indore,9,H.I.G,44,29446
Indore,9,Dr. Bhimrao Ambedkar,45,28424
Indore,9,Somnath,46,29549
Indore,9,Sardar Wallabh bhai,47,30297
Indore,11,Geeta Bhawan,48,27041
Indore,11,Tilak Nagar,49,29687
Indore,19,Brajeshwari,50,33738
Indore,18,Bhagwati Nagar,51,32033
Indore,18,Musakhedi,52,28448
Indore,18,Dr. Molana Ajad Nagar,53,35453
Indore,11,Residence,54,33814
Indore,11,South Tukuganj,55,26999
Indore,3,Shanelatagunj,56,35222
Indore,3,Devi Ahilyabai,57,28284
Indore,3,Imli Bazar,58,35960
Indore,12,Harsaddi,59,27337
Indore,11,Ranipura,60,29263
Indore,12,Tatiya Sarwate,61,28096
Indore,12,Rauji Bazar,62,27003
Indore,18,Nolakhkha,63,26899
Indore,18,Chitawad,64,36107
Indore,12,Sant Kawar ram,65,35620
Indore,12,Sahid Hemu Kalani,66,31529
Indore,2,Maharaja Holkar,67,27340
Indore,2,Bambai Bazar,68,26867
Indore,2,Jawahar Marg,69,31176
Indore,2,Loknayak Nagar,70,31430
Indore,15,Dravind Nagar,71,28703
Indore,15,Lokmaniya Nagar,72,28545
Indore,15,Lakshman Singh Choun,73,29158
Indore,13,Vishnupuri,74,35892
Indore,19,Palda,75,33276
Indore,19,Mundla Nayta,76,27042
Indore,13,Bilawali,77,36032
Indore,13,Chohitram,78,36159
Indore,14,Sukh Niwas,79,36131
Indore,13,Dr. Rajendra Prasad,80,36123
Indore,13,Annpurna,81,35455
Indore,14,Sudama Nagar,82,35853
Indore,15,Gumasta Nagar,83,36137
Indore,14,Duwarkapuri,84,33287
Indore,14,Prajapat Nagar,85,36043
